index,PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,TicketId,InvidualId,Deck,Num,Side,Num_bucket,Total spendings,is_travelling_in_group,Age_bucket,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,0001_01,0,39.0,0,0.0,0.0,0.0,0.0,0.0,False,1,1,1,0,0,0,0.0,False,30.0,False,True,False,False,False,True
1,0002_01,0,24.0,0,109.0,9.0,25.0,549.0,44.0,True,2,1,5,0,1,0,736.0,False,20.0,True,False,False,False,False,True
2,0003_01,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,3,1,0,0,1,0,10383.0,True,50.0,False,True,False,False,False,True
3,0003_02,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,3,2,0,0,1,0,5176.0,True,30.0,False,True,False,False,False,True
4,0004_01,0,16.0,0,303.0,70.0,151.0,565.0,2.0,True,4,1,5,1,1,0,1091.0,False,10.0,True,False,False,False,False,True
5,0005_01,0,44.0,0,0.0,483.0,0.0,291.0,0.0,True,5,1,5,0,0,0,774.0,False,40.0,True,False,False,False,True,False
6,0006_01,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,6,1,5,2,1,0,1584.0,True,20.0,True,False,False,False,False,True
7,0006_02,1,28.0,0,0.0,0.0,0.0,0.0,0.0,True,6,2,6,0,1,0,0.0,True,20.0,True,False,False,False,False,True
8,0007_01,0,35.0,0,0.0,785.0,17.0,216.0,0.0,True,7,1,5,3,1,0,1018.0,False,30.0,True,False,False,False,False,True
9,0008_01,1,14.0,0,0.0,0.0,0.0,0.0,0.0,True,8,1,1,1,0,0,0.0,True,10.0,False,True,False,True,False,False
10,0008_02,1,34.0,0,0.0,0.0,0.0,0.0,0.0,True,8,2,1,1,0,0,0.0,True,30.0,False,True,False,False,False,True
11,0008_03,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,8,3,1,1,0,0,8157.0,True,40.0,False,True,False,True,False,False
12,0009_01,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,9,1,5,1,0,0,1309.0,False,30.0,False,False,True,False,False,True
13,0010_01,0,48.0,0,719.0,1.0,65.0,0.0,24.0,False,10,1,6,1,1,0,809.0,False,40.0,True,False,False,False,False,True
14,0011_01,0,28.0,0,8.0,974.0,12.0,2.0,7.0,True,11,1,5,2,0,0,1003.0,False,20.0,True,False,False,False,False,True
15,0012_01,0,31.0,0,32.0,0.0,876.0,0.0,0.0,False,12,1,5,1222,0,1200,908.0,False,30.0,True,False,False,False,False,True
16,0014_01,0,27.0,0,1286.0,122.0,193.1539281905439,0.0,0.0,False,14,1,5,3,0,0,1408.0,False,20.0,False,False,True,True,False,False
17,0015_01,0,24.0,0,0.0,1.0,0.0,0.0,637.0,False,15,1,5,4,0,0,638.0,False,20.0,True,False,False,True,False,False
18,0016_01,1,45.0,0,0.0,0.0,0.0,0.0,0.0,True,16,1,5,5,0,0,0.0,False,40.0,False,False,True,False,False,True
19,0017_01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,True,17,1,6,0,0,0,0.0,True,0.0,True,False,False,False,False,True
20,0017_02,0,14.0,0,412.0,0.0,1.0,0.0,679.0,False,17,2,5,6,0,0,1092.0,True,10.0,True,False,False,True,False,False
21,0020_01,1,1.0,0,0.0,0.0,0.0,0.0,0.0,False,20,1,4,0,1,0,0.0,True,0.0,True,False,False,False,False,True
22,0020_02,1,49.0,0,0.0,0.0,0.0,0.0,0.0,False,20,2,4,0,1,0,0.0,True,40.0,True,False,False,True,False,False
23,0020_03,1,29.0,0,0.0,0.0,0.0,0.0,0.0,False,20,3,4,0,1,0,0.0,True,20.0,True,False,False,True,False,False
24,0020_04,0,10.0,0,0.0,0.0,0.0,0.0,0.0,True,20,4,4,0,1,0,0.0,True,10.0,True,False,False,False,False,True
25,0020_05,1,1.0,0,0.0,0.0,0.0,0.0,0.0,False,20,5,4,0,1,0,0.0,True,0.0,True,False,False,False,True,False
26,0020_06,0,7.0,0,0.0,0.0,0.0,0.0,0.0,False,20,6,4,0,1,0,0.0,True,0.0,True,False,False,False,False,True
27,0022_01,0,21.0,0,980.0,2.0,69.0,0.0,0.0,False,22,1,3,0,0,0,1051.0,False,20.0,False,False,True,False,False,True
28,0024_01,1,62.0,0,0.0,0.0,0.0,0.0,0.0,True,24,1,2,2,1,0,0.0,False,60.0,False,True,False,False,False,True
29,0025_01,0,15.0,0,0.0,225.0,0.0,998.0,0.0,False,25,1,5,6,1,0,1223.0,False,10.0,True,False,False,False,False,True
30,0026_01,0,34.0,0,22.0,6073.0,0.0,1438.0,328.0,False,26,1,2,0,0,0,7861.0,False,30.0,False,True,False,True,False,False
31,0028_01,0,43.0,0,1125.0,0.0,136.0,48.0,0.0,False,28,1,5,8,0,0,1309.0,False,40.0,False,False,True,False,False,True
32,0030_01,0,32.0,0,0.0,850.0,81.0,437.0,453.0,False,30,1,6,4,1,0,1821.0,False,30.0,True,False,False,False,False,True
33,0031_01,0,47.0,0,214.0,0.0,1411.0,0.0,1229.0,True,31,1,5,9,0,0,2854.0,True,40.0,False,False,True,False,False,True
34,0031_02,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,31,2,5,9,0,0,0.0,True,0.0,False,False,True,False,False,True
35,0031_03,0,20.0,0,233.67843137254903,0.0,1750.0,990.0,0.0,True,31,3,5,9,0,0,2740.0,True,20.0,False,False,True,False,False,True
36,0034_01,1,28.0,0,0.0,0.0,0.0,0.0,0.0,True,34,1,3,1,1,0,0.0,False,20.0,False,True,False,True,False,False
37,0035_01,0,23.0,0,784.0,964.0,0.0,951.0,0.0,False,35,1,3,1,0,0,2699.0,False,20.0,False,False,True,True,False,False
38,0036_01,0,15.0,0,0.0,492.0,48.0,20.0,401.0,False,36,1,5,8,1,0,961.0,False,10.0,True,False,False,True,False,False
39,0038_01,0,20.0,0,554.0,195.0,0.0,2606.0,0.0,False,38,1,5,10,1,0,3355.0,False,20.0,True,False,False,True,False,False
40,0039_01,1,30.0,0,0.0,0.0,0.0,0.0,0.0,False,39,1,6,1,0,0,0.0,False,30.0,True,False,False,True,False,False
41,0041_01,1,17.0,0,0.0,0.0,0.0,0.0,0.0,True,41,1,6,2,0,0,0.0,False,10.0,True,False,False,False,False,True
42,0043_01,0,45.0,0,0.0,164.0,45.0,2511.0,855.0,False,43,1,1,3,0,0,3575.0,False,40.0,False,True,False,False,False,True
43,0044_01,1,55.0,0,0.0,0.0,0.0,0.0,0.0,False,44,1,6,3,0,0,0.0,True,50.0,True,False,False,False,False,True
44,0044_02,1,4.0,0,0.0,0.0,0.0,0.0,0.0,True,44,2,6,3,0,0,0.0,True,0.0,True,False,False,True,False,False
45,0044_03,1,21.0,0,0.0,0.0,0.0,0.0,0.0,True,44,3,6,3,0,0,0.0,True,20.0,True,False,False,False,True,False
46,0045_01,0,21.0,0,970.0,0.0,180.0,0.0,64.0,False,45,1,5,10,0,0,1214.0,True,20.0,False,False,True,False,False,True
47,0045_02,1,19.0,0,0.0,0.0,0.0,0.0,0.0,True,45,2,5,10,0,0,0.0,True,10.0,False,False,True,False,False,True
48,0050_01,0,35.0,0,790.0,0.0,0.0,437.26799758015727,0.0,False,50,1,4,1,1,0,790.0,False,30.0,True,False,False,True,False,False
49,0051_01,0,56.0,0,0.0,112.0,0.0,1379.0,127.0,False,51,1,4,2,1,0,1618.0,False,50.0,True,False,False,False,False,True
50,0052_01,0,20.0,0,4.0,0.0,2.0,4683.0,0.0,False,52,1,6,6,1,0,4689.0,False,20.0,True,False,False,False,False,True
51,0053_01,0,25.0,0,0.0,0.0,1938.0,0.0,1.0,True,53,1,5,11,1,0,1939.0,False,20.0,True,False,False,False,False,True
52,0056_01,0,2.0,0,0.0,0.0,0.0,0.0,0.0,True,56,1,0,1,1,0,0.0,True,0.0,False,True,False,False,False,True
53,0056_02,1,38.0,0,0.0,0.0,0.0,0.0,0.0,True,56,2,0,1,1,0,0.0,True,30.0,False,True,False,False,False,True
54,0056_03,0,27.0,0,279.0,605.0,3374.0,286.0,3.0,True,56,3,0,1,1,0,4547.0,True,20.0,False,True,False,False,False,True
